Country Name,CountryCode,Paid Bribes in the last year,Corruption Perception,Corruption risks,Funding USDm
Afghanistan,AFG,0.304843307,0.571626997,0.562548987,0.12764825
Albania,ALB,,0.858032131,0.545375186,0.033139
Algeria,DZA,0.161387637,0.717008209,0.564342488,0
Azerbaijan,AZE,,0.622079611,0.325602778,0
Argentina,ARG,0.064690024,0.542272282,0.31152212,0.004154333
Australia,AUS,0.01369863,0.503792763,0.228186549,0
Bangladesh,BGD,0.168573603,0.586541843,0.449515868,12.80951111
Armenia,ARM,0.236794174,0.794792652,0.707028612,0.00484825
Belgium,BEL,0.029411765,0.532254314,0.269332019,0
Bolivia,BOL,0.093178034,0.588517761,0.381130866,0.044904167
Bosnia and Herzegovina,BIH,0.320610672,0.826923084,0.815024645,0.2316735
Brazil,BRA,,0.707938194,0.405573729,0.036234667
Solomon Islands,SLB,0.101694912,0.560580921,0.3630426,0.148783
Bulgaria,BGR,0.069518715,0.83823843,0.591690377,0
Burundi,BDI,,0.381108832,0.101156231,0.0169908
Cambodia,KHM,0.38271606,0.513043499,0.580515508,0.074394571
Cameroon,CMR,0.343065679,0.734951448,0.750275021,0.00169875
Canada,CAN,0.019283747,0.549356222,0.275827684,0
Sri Lanka,LKA,0.065040648,0.488679266,0.261930751,0.032756429
Chile,CHL,0.048239894,0.696987963,0.440306306,0
Taiwan,TWN,0.208333328,0.686480904,0.579635006,0
Colombia,COL,0.062849164,0.755175877,0.508111525,0.04658475
"Congo, Democratic Republic",COD,0.251072973,0.553269243,0.495366981,6.6710194
Croatia,HRV,0.040561624,0.755046844,0.487232138,0
Cyprus,CYP,0.135734066,0.716236162,0.53972897,0
Czech Republic,CZE,0.144429162,0.662732935,0.497993493,0
Denmark,DNK,0.009668509,0.419999981,0.146385978,0
El Salvador,SLV,0.053475935,0.612133884,0.366147963,0.017035
Ethiopia,ETH,0.349290788,0.615557814,0.644866867,2.208917667
Estonia,EST,0.070694089,0.542825365,0.317629621,0
Fiji,FJI,,0.568080807,0.275306865,0
Finland,FIN,0.008759124,0.461153412,0.183870346,0
France,FRA,,0.56938777,0.276524205,0
Georgia,GEO,0.046728972,0.558515263,0.309921864,0.002077
Germany,DEU,,0.677546549,0.377266148,0
Ghana,GHA,0.191653788,0.607411003,0.490451448,0.024171667
Greece,GRC,0.2394775,0.818609428,0.731711507,0
Hungary,HUN,0.173047468,0.641146374,0.504543046,0
India,IND,0.343839556,0.720977592,0.737980212,0.4810306
Indonesia,IDN,0.164406776,0.608902693,0.466462261,0.000303
Iraq,IRQ,0.228222996,0.565042973,0.485050272,0.000764
Israel,ISR,0.070133008,0.631111097,0.399338678,0
Italy,ITA,0.0416,0.703826284,0.440491127,0
Jamaica,JAM,0.031088082,0.500819683,0.241614339,0
Japan,JPN,0.016891891,0.693199015,0.407578822,0
Kazakhstan,KAZ,0.281889766,0.721205616,0.680490929,0
Jordan,JOR,0.336065561,,0.059201738,0.042008667
Kenya,KEN,0.328326166,0.63300271,0.641588502,0.258093778
"Korea, South",KOR,0.011235955,0.578528023,0.295503144,0
Kyrgyzstan,KGZ,0.383886248,0.852008438,0.897326348,0.000101
Lebanon,LBN,,0.762756968,0.456633383,0.10146325
Latvia,LVA,0.238317758,0.688542843,0.60948384,0
Liberia,LBR,0.397058815,0.725510216,0.79177184,0.119071
Libya,LBY,0.361050338,0.637837839,0.676572226,0
Lithuania,LTU,0.358520895,0.822343922,0.846070074,0
Luxembourg,LUX,,0.526382971,0.2364684,0
Madagascar,MDG,0.229314417,0.650884104,0.566021546,0
Malawi,MWI,,0.79477911,0.486459652,0.074338667
Malaysia,MYS,0.012244898,0.445549154,0.17258287,0.176953
Maldives,MDV,0.023560209,0.577166176,0.305713819,0
Mexico,MEX,0.089810014,0.6369524,0.423107105,0.088166
Mongolia,MNG,0.353035152,0.806715679,0.826403951,0.001496333
Moldova,MDA,0.382848382,0.797009659,0.845132337,0.061565667
Morocco,MAR,0.504999995,0.841127396,1,0
Mozambique,MOZ,0.345679015,0.77211895,0.787327943,0.782690667
Nepal,NPL,0.028750001,0.595824194,0.327926299,0.02276275
Vanuatu,VUT,0.044642858,0.631872511,0.37630568,0.148783
New Zealand,NZL,0.01509434,0.46696229,0.195181675,0
Nigeria,NGA,0.08922559,0.599398184,0.387583768,0.001839667
Norway,NOR,0.00863132,0.590776157,0.304485354,0
Pakistan,PAK,0.218120798,0.707739401,0.60855204,0.061391714
Papua New Guinea,PNG,0.204761907,0.572319698,0.469975729,0
Paraguay,PRY,0.06167401,0.633811474,0.393974946,0.0010635
Peru,PER,0.079166666,0.695466232,0.467694938,0.13526175
Philippines,PHL,0.043314502,0.56352706,0.311409656,0.0894472
Portugal,PRT,0.017857144,0.608447742,0.329538311,0
Romania,ROU,0.266886324,0.727238798,0.672135791,0
Russia,RUS,,0.817622089,0.507736206,0
Rwanda,RWA,0.0175,0.255005264,0,0.1423204
Senegal,SEN,0.350061208,0.690508127,0.715395158,0.1758305
Serbia,SRB,0.224606574,0.857926846,0.754481614,0.01194125
Sierra Leone,SLE,0.465789467,0.708537769,0.839980799,0.0309828
Slovakia,SVK,0.27748692,0.769198322,0.721091676,0
Vietnam,VNM,0.216176465,0.711248732,0.61000972,0
Slovenia,SVN,0.042979944,0.651313114,0.39286429,0
South Africa,ZAF,0.086592175,0.720372295,0.497809418,0.299779833
Zimbabwe,ZWE,0.213313162,0.760912037,0.653600478,2.807220111
Spain,ESP,0.003926701,0.462105274,0.180255889,0
South Sudan,SSD,0.298329353,0.64469161,0.624536029,8.889791667
Sudan,SDN,0.099576272,0.729183674,0.5181103,3.1897065
Switzerland,CHE,0.029585799,0.518396711,0.256586782,0
Thailand,THA,0.016181231,0.554918051,0.278118352,0.0038925
Tunisia,TUN,0.376963347,0.556926394,0.616030967,0
Turkey,TUR,0.132110089,0.634378147,0.460108785,0
Uganda,UGA,0.426923066,0.719878292,0.81434247,3.5213134
Ukraine,UKR,0.413436681,0.841244411,0.914824503,0.0134346
Macedonia,MKD,0.132756129,0.700813007,0.522589706,0
Egypt,EGY,0.210191086,0.788008118,0.675930499,0.046614833
United Kingdom,GBR,0.033430234,0.518171692,0.259958,0
Tanzania,TZA,0.450184494,0.857457447,0.964153636,2.103259889
United States,USA,0.04789272,0.6468647,0.393296808,0
Uruguay,URY,0.005012531,0.58266387,0.29355872,0
Venezuela,VEN,0.151589245,0.656179762,0.498558784,0
Yemen,YEM,0.441379309,0.765380621,0.870189466,0.101779333
Zambia,ZMB,,0.703614473,0.401546502,8.7973913
