Country Name,CountryCode,Firms expected to give gifts to tax officials (% of firms),Paid Bribe in the last year,Corruption Perception,Corruption risks,Funding USDm
Afghanistan,AFG,0.34,0.458041966,0.593100023,0.638677737,9.960563333
Albania,ALB,0.183999996,,0.535516882,0.208608076,0
Algeria,DZA,0,0.391143918,0.828571415,0.528906076,0
Azerbaijan,AZE,0.125,,0.556384516,0.184190329,0
Argentina,ARG,0.06,0.047732696,0.703642035,0.267428502,0
Australia,AUS,0,0.012232416,0.675182486,0.188051837,0
Bangladesh,BGD,0.41,0.0822898,0.518948078,0.395409239,0.074793
Armenia,ARM,0.045999999,0.089430891,0.698731518,0.282020406,0
Belgium,BEL,0,0.027624309,0.664705896,0.191199312,0
Bolivia,BOL,0.086999998,0.13636364,0.594162178,0.2713673,2.100524
Bosnia and Herzegovina,BIH,0.074000001,0.073529415,0.715821505,0.300711032,0.367011333
Brazil,BRA,0,,0.607864571,0.137112432,0
Solomon Islands,SLB,0.308999996,,0.608333349,0.335278237,0
Bulgaria,BGR,0.06,0.007707129,0.761894035,0.279099651,0
Burundi,BDI,0.2,,0.631709862,0.280449938,0
Cambodia,KHM,0.587000008,0.176190481,0.531584454,0.576969884,0
Cameroon,CMR,0.203999996,0.521739125,0.688433981,0.653425523,0
Canada,CAN,0,0.012658228,0.683760691,0.193817486,0
Sri Lanka,LKA,0,,0.51810813,0.079637627,0.133081
Chile,CHL,0,0.0234375,0.781613874,0.263379393,0
Taiwan,TWN,0,0.146226421,0.679141092,0.276388667,0
Colombia,COL,0,0.106918238,0.62988739,0.219678786,0.351
"Congo, Democratic Republic",COD,0.539000015,0.671232879,0.74517374,1,0
Croatia,HRV,0,0.012578616,0.698060322,0.202923159,0
Cyprus,CYP,0,0.08583691,0.639252329,0.212176292,0
Czech Republic,CZE,0.004,0.015686275,0.67074976,0.189986395,0
Denmark,DNK,0,0.013544018,0.573690081,0.123901878,0
El Salvador,SLV,0.007,0.024948025,0.646971321,0.182611778,0.046399
Ethiopia,ETH,0.173999996,0.405405402,0.521199608,0.45263475,4.689811857
Estonia,EST,0,0.003802281,0.654420185,0.1693587,0
Fiji,FJI,0,,0.718503523,0.207959182,0
Finland,FIN,0,0.008163265,0.644588757,0.165855745,0
France,FRA,0,,0.747699213,0.226654404,0
Georgia,GEO,0.002,,0.558333349,0.106676202,0.356555
Germany,DEU,0,,0.739187717,0.221204138,0
Ghana,GHA,0.113999996,0.236234456,0.609886312,0.362676812,0
Greece,GRC,0,0.048742138,0.762616825,0.267418406,0
Hungary,HUN,0,0.006711409,0.76601038,0.242677407,0
India,IND,0.153000002,0.40989399,0.679591846,0.543486983,0.3110826
Indonesia,IDN,0.216000004,0.094674557,0.666666651,0.373703785,0.0253015
Iraq,IRQ,0,0.172932327,0.532470131,0.199570022,0
Israel,ISR,0,0.031007752,0.692291212,0.211029904,0
Italy,ITA,0,0.022421524,0.707089949,0.215008033,0
Jamaica,JAM,0,0.02617801,0.614906836,0.158384764,0
Japan,JPN,0,0.007874016,0.681368828,0.189222345,0
Kazakhstan,KAZ,0.222999992,0.062271062,0.631715965,0.33505647,0
Jordan,JOR,0.143999996,0.491620123,,0.154885471,0.110953
Kenya,KEN,0.173999996,0.27619049,0.544606924,0.384881719,0.109537
"Korea, South",KOR,0,0.009230769,0.637746096,0.16215767,0
Kyrgyzstan,KGZ,0.547999992,0.256637156,0.716805744,0.722114858,0
Lebanon,LBN,0.146000004,,0.767835569,0.333038467,0.016139
Latvia,LVA,0.009,0.023333333,0.673086405,0.199581087,0
Liberia,LBR,0.417000008,0.561046541,0.783877563,0.876105045,7.6481545
Libya,LBY,0,0.541147113,0.524647903,0.430344457,0
Lithuania,LTU,0.108999996,0.00625,0.727355289,0.287426734,0
Luxembourg,LUX,0,,0.688362074,0.188658351,0
Madagascar,MDG,0.317000008,0.184615389,0.643433285,0.481093895,0
Malawi,MWI,0.182999992,,0.758859491,0.35098335,0.150291
Malaysia,MYS,0.237000008,,0.636184216,0.307007707,0
Maldives,MDV,0,,0.638183689,0.156527032,0
Mexico,MEX,0,0.144827589,0.696289253,0.286473621,0
Mongolia,MNG,0.195,0.221804515,0.652480698,0.432579376,0
Moldova,MDA,0.135,,0.721308422,0.296201425,1.731729
Morocco,MAR,0.287000008,0.24242425,0.717152882,0.546106815,0
Mozambique,MOZ,0,0.330128193,0.635406685,0.366143695,4.357271
Nepal,NPL,0.103999996,0.082770273,0.703663778,0.318053491,0.019165
Vanuatu,VUT,0,0.044198897,0.616867447,0.171179753,0
New Zealand,NZL,0,0.015418503,0.62816596,0.159985373,0
Nigeria,NGA,0.258999996,0.21681416,0.603399992,0.438937289,0
Norway,NOR,0,0.009876544,0.650847435,0.170960522,0
Pakistan,PAK,0.287999992,0.447004616,0.660249567,0.641310942,0
Papua New Guinea,PNG,0,0.140350878,0.647507334,0.252369892,0
Paraguay,PRY,0.161000004,0.073654391,0.582059813,0.270847593,0
Peru,PER,0.07,0.072289154,0.684730816,0.277446804,0
Philippines,PHL,0.141000004,0.073275864,0.584723616,0.259504114,0.01272
Portugal,PRT,0,0.016018307,0.70556159,0.209929113,0
Romania,ROU,0.068000002,0.009859155,0.69407115,0.242170587,0
Russia,RUS,0.073000002,,0.755969334,0.278695064,0
Rwanda,RWA,0,0.043103449,0.350637317,0,3.3592305
Senegal,SEN,0.073000002,0.569892466,0.584704733,0.533953166,0
Serbia,SRB,0.037,0.093922652,0.727899694,0.297811197,0.004666
Sierra Leone,SLE,0.296000004,0.60910815,0.655083895,0.746927564,0
Slovakia,SVK,0.025,0.044334974,0.671412659,0.222203017,0
Vietnam,VNM,0.25,0.04587156,0.584615374,0.311683938,0.02827
Slovenia,SVN,0.003,0.017699115,0.653932571,0.17986621,0
South Africa,ZAF,0,0.163461536,0.699473143,0.300444495,0.15402275
Zimbabwe,ZWE,0.126000004,0.27519381,0.756167412,0.488978133,0.29248575
Spain,ESP,0,0.008086253,0.667381954,0.180401869,0
South Sudan,SSD,0.306000004,0.255737692,0.750914955,0.58841773,0
Sudan,SDN,0.032,0.18959108,0.775442266,0.386313483,0
Switzerland,CHE,0,0.015948962,0.61730175,0.153368241,0
Thailand,THA,0.085,0.025104603,0.63786006,0.226824383,0.011239
Tunisia,TUN,0.049000001,,0.597609568,0.161922475,0
Turkey,TUR,0.012,0.145374447,0.682794571,0.28586669,0
Uganda,UGA,0.143000002,0.460606068,0.602038717,0.519896117,2.3700614
Ukraine,UKR,0.5,0.179856122,0.770108175,0.676344122,1.1015552
Macedonia,MKD,0.024000001,0.025773196,0.622444439,0.178320392,0.084358
Egypt,EGY,0.131999998,,0.667370653,0.259741788,0
United Kingdom,GBR,0,0.036312848,0.68768034,0.211474445,0
Tanzania,TZA,0.146000004,0.315151513,0.670396757,0.472449019,2.9137355
United States,USA,0,0.078125,0.70504384,0.249367091,0
Uruguay,URY,0,0.007407407,0.603163862,0.138845644,0
Venezuela,VEN,0,0.032258064,0.760574961,0.255555472,0
Yemen,YEM,0.625999985,0.312000006,0.687794447,0.788935519,0
Zambia,ZMB,0.09,,0.712090158,0.261483203,1.229857
