CountryCode,Country Name,gcb_btax,gcb_pb,wdi_firgifttax,Corruption risks,gcb_pb / 5,wdi_firgifttax / 100,Funding USDm
AFG,Afghanistan,0.458042,3,34,0.464,0.593100023,0.34,29.882 
ALB,Albania,,3,18,0.240,0.535516882,0.183999996,0.259
DZA,Algeria,0.391144,4,,0.407,0.828571415,0,0.503
AZE,Azerbaijan,,3,13,0.227,0.556384516,0.125,0.259
ARG,Argentina,0.047733,4,6,0.270,0.703642035,0.06,0
AUS,Australia,0.012232,3,,0.229,0.675182486,0,0.009
BHS,Bangladesh,0.082290,3,41,0.337,0.518948078,0.41,0.150 
ARM,Armenia,0.089431,3,5,0.278,0.698731518,0.045999999,0.259
BEL,Belgium,0.027624,3,,0.231,0.664705896,0,0.259
BTN,Bhutan,,,0,0.001,0,0.003,0.009
BOL,Bolivia,0.136364,3,9,0.273,0.594162178,0.086999998,4.201 
BIH,Bosnia and Herzegovina,0.073529,4,7,0.288,0.715821505,0.074000001,1.101 
BRA,Brazil,,3,,0.203,0.607864571,0,0
SLB,Solomon Islands,,3,31,0.306,0.608333349,0.308999996,0.009
BGR,Bulgaria,0.007707,4,6,0.277,0.761894035,0.06,0.259
MMR,Myanmar,,,20,0.068,0,0.203999996,0.009
BDI,Burundi,,3,20,0.277,0.631709862,0.2,0.503
BLR,Belarus,,,3,0.011,0,0.034000001,7.914 
KHM,Cambodia,0.176190,3,59,0.432,0.531584454,0.587000008,0.009
CMR,Cameroon,0.521739,3,20,0.471,0.688433981,0.203999996,0.503
CAN,Canada,0.012658,3,,0.232,0.683760691,0,0.11
LKA,Sri Lanka,,3,,0.173,0.51810813,0,0.133 
CHL,Chile,0.023438,4,,0.268,0.781613874,0,0
CHN,China,,,11,0.036,0,0.108999996,0.731 
TWN,Taiwan,0.146226,3,,0.275,0.679141092,0,0.009
COL,Colombia,0.106918,3,,0.246,0.62988739,0,0.351 
COD,Congo, Democratic Republic,0.671233,4,0.54,0.652,0.74517374,0.539000015,0.503
HRV,Croatia,0.012579,3,0,0.237,0.698060322,0,0.259
CYP,Cyprus (1975-),0.085837,3,,0.242,0.639252329,0,0.259
CZE,Czech Republic,0.015686,3,0,0.230,0.67074976,0.004,0.259
BEN,Benin,,,11,0.037,0,0.11,0.503
DNK,Denmark,0.013544,3,,0.196,0.573690081,0,0.259
DOM,Dominican Republic,,,12,0.040,0,0.118999996,0
ECU,Ecuador,,,4,0.012,0,0.035,0
SLV,El Salvador,0.024948,3,1,0.226,0.646971321,0.007,0.046 
ETH,Ethiopia (1993-),0.405405,3,17,0.367,0.521199608,0.173999996,32.829 
ERI,Estonia,0.003802,3,0,0.219,0.654420185,0,0.259
FJI,Fiji,,4,,0.240,0.718503523,0,0.009
FIN,Finland,0.008163,3,,0.218,0.644588757,0,0.259
FRA,France (1963-),,4,,0.249,0.747699213,0,0.259
DJI,Djibouti,,,3,0.011,0,0.034000001,0.503
GEO,Georgia,,3,0,0.187,0.558333349,0.002,1.070 
DEU,Germany,,4,,0.246,0.739187717,0,0.259
GHA,Ghana,0.236234,3,11,0.320,0.609886312,0.113999996,0.503
GRC,Greece,0.048742,4,,0.270,0.762616825,0,0.259
GIN,Guinea,,,7,0.023,0,0.069000001,0.503
HND,Honduras,,,4,0.013,0,0.039000001,0
HUN,Hungary,0.006711,4,0,0.258,0.76601038,0,0.259
IND,India,0.409894,3,15,0.414,0.679591846,0.153000002,1.555 
IDN,Indonesia,0.094675,3,22,0.326,0.666666651,0.216000004,0.051 
IRQ,Iraq,0.172932,3,,0.235,0.532470131,0,4.066
ISR,Israel,0.031008,3,0,0.241,0.692291212,0,0.259
ITA,Italy,0.022422,4,,0.243,0.707089949,0,0.259
CIV,Cote d'Ivoire,,,23,0.076,0,0.228999996,0.503
JAM,Jamaica,0.026178,3,,0.214,0.614906836,0,0
JPN,Japan,0.007874,3,,0.230,0.681368828,0,0.009
KAZ,Kazakhstan,0.062271,3,22,0.306,0.631715965,0.222999992,0.001
JOR,Jordan,0.491620,,14,0.212,0,0.143999996,0.111 
KEN,Kenya,0.276190,3,17,0.332,0.544606924,0.173999996,0.110 
KOR,Korea, South,0.009231,3,,0.216,0.637746096,0,0.076 
KGZ,Kyrgyzstan,0.256637,4,55,0.507,0.716805744,0.547999992,0.001
LAO,Laos,,,14,0.046,0,0.136999998,0.009
LBN,Lebanon,,4,15,0.305,0.767835569,0.146000004,0.016 
LSO,Lesotho,,,16,0.052,0,0.156999998,0.503
LVA,Latvia,0.023333,3,1,0.235,0.673086405,0.009,0.259
LBR,Liberia,0.561047,4,42,0.587,0.783877563,0.417000008,15.296 
LBY,Libya,0.541147,3,,0.355,0.524647903,0,0.503
LTU,Lithuania,0.006250,4,11,0.281,0.727355289,0.108999996,0.259
LUX,Luxembourg,,3,,0.229,0.688362074,0,0.259
MDG,Madagascar,0.184615,3,32,0.382,0.643433285,0.317000008,0.503
MWI,Malawi,,4,18,0.314,0.758859491,0.182999992,0.150 
MYS,Malaysia (1966-),,3,24,0.291,0.636184216,0.237000008,0.009
MDV,Maldives,,3,,0.213,0.638183689,0,0.009
MLI,Mali,,,32,0.107,0,0.320999985,0.186 
MRT,Mauritania,,,20,0.068,0,0.203999996,0.503
MEX,Mexico,0.144828,3,,0.280,0.696289253,0,0.11
MNG,Mongolia,0.221805,3,20,0.356,0.652480698,0.195,0.001
MDA,Moldova,,4,14,0.285,0.721308422,0.135,3.463 
MNE,Montenegro,,,16,0.054,0,0.162000008,0.259
MAR,Morocco,0.242424,4,29,0.416,0.717152882,0.287000008,0.503
MOZ,Mozambique,0.330128,3,,0.322,0.635406685,0,13.072 
NAM,Namibia,,,5,0.018,0,0.053000002,1.052 
NPL,Nepal,0.082770,4,10,0.297,0.703663778,0.103999996,0.019 
VUT,Vanuatu,0.044199,3,,0.220,0.616867447,0,0.009
NZL,New Zealand,0.015419,3,,0.215,0.62816596,0,0.009
NIC,Nicaragua,,,5,0.016,0,0.048000002,0
NER,Niger,,,6,0.020,0,0.060999999,0.503
NGA,Nigeria,0.216814,3,26,0.360,0.603399992,0.258999996,0.503
NOR,Norway,0.009877,3,,0.220,0.650847435,0,0.259
PAK,Pakistan (1971-),0.447005,3,29,0.465,0.660249567,0.287999992,0.009
PNG,Papua New Guinea,0.140351,3,0,0.263,0.647507334,0,0.009
PRY,Paraguay,0.073654,3,16,0.272,0.582059813,0.161000004,0
PER,Peru,0.072289,3,7,0.276,0.684730816,0.07,0
PHL,Philippines,0.073276,3,14,0.266,0.584723616,0.141000004,0.013 
POL,Poland,,,2,0.007,0,0.020999999,0.259
PRT,Portugal,0.016018,4,,0.241,0.70556159,0,0.259
TLS,Timor-Leste,,,17,0.057,0,0.171000004,0.009
ROU,Romania,0.009859,3,7,0.257,0.69407115,0.068000002,0.259
RUS,Russia,,4,7,0.276,0.755969334,0.073000002,0.259
RWA,Rwanda,0.043103,2,,0.131,0.350637317,0,6.718 
SEN,Senegal,0.569892,3,7,0.409,0.584704733,0.073000002,0.503
SRB,Serbia,0.093923,4,4,0.286,0.727899694,0.037,0.005 
SLE,Sierra Leone,0.609108,3,30,0.520,0.655083895,0.296000004,0.503
SVK,Slovakia,0.044335,3,3,0.247,0.671412659,0.025,0.259
VNM,Vietnam,0.045872,3,25,0.293,0.584615374,0.25,0.057 
SVN,Slovenia,0.017699,3,0,0.225,0.653932571,0.003,0.259
ZAF,South Africa,0.163462,3,,0.288,0.699473143,0,0.616 
ZWE,Zimbabwe,0.275194,4,13,0.386,0.756167412,0.126000004,0.503
ESP,Spain,0.008086,3,,0.225,0.667381954,0,0.259
SSD,South Sudan,0.255738,4,31,0.438,0.750914955,0.306000004,0.503
SDN,Sudan (2012-),0.189591,4,3,0.332,0.775442266,0.032,0.503
SWZ,Eswatini (former Swaziland),,,7,0.022,0,0.065999999,0.503
CHE,Switzerland,0.015949,3,,0.211,0.61730175,0,0.259
TJK,Tajikistan,,,32,0.106,0,0.318999996,0.001
THA,Thailand,0.025105,3,9,0.249,0.63786006,0.085,0.011 
TGO,Togo,,,5,0.016,0,0.046999998,0.503
TUN,Tunisia,,3,5,0.216,0.597609568,0.049000001,0.503
TUR,Turkey,0.145374,3,1,0.280,0.682794571,0.012,0.259
UGA,Uganda,0.460606,3,14,0.402,0.602038717,0.143000002,11.850 
UKR,Ukraine,0.179856,4,50,0.483,0.770108175,0.5,5.508 
MKD,Macedonia,0.025773,3,2,0.224,0.622444439,0.024000001,0.169 
EGY,Egypt,,3,13,0.266,0.667370653,0.131999998,0.503
GBR,United Kingdom,0.036313,3,,0.241,0.68768034,0,0.259
TZA,Tanzania,0.315152,3,15,0.377,0.670396757,0.146000004,5.827 
USA,United States,0.078125,4,,0.261,0.70504384,0,0.11
URY,Uruguay,0.007407,3,0,0.204,0.603163862,0,0
UZB,Uzbekistan,,,2,0.008,0,0.024000001,0.001
VEN,Venezuela,0.032258,4,,0.264,0.760574961,0,0
YEM,Yemen,0.312000,3,63,0.542,0.687794447,0.625999985,4.066
ZMB,Zambia,,4,9,0.267,0.712090158,0.09,4.919 
